country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
United States,2012,USA,316651328,1.58E+13,35.27,0.111,5345.454,-201.175,-3.627,5354.944,-108.109,-1.979,16.911,0.338,0.214,16.881,0.337,0.213,1658.503,5.238,5656.314,17.863,0.357,2438.595,374698.938,498364.125,163670.891,1822.79,64695.625,123835.359,140896.531,1174.525,79102.344,1.58,53.094,0.168,1372.083,4.333,18.983,17.664,9.49,0.03,644.28,2.035,257.37,0.813,2195.781,6.934,0.097,30.723,25047.863,2.547,15.27,13.443,11.114,7.819,26.526,23.62,24.359,12.275,34.176,17.641,28.273,16.831,13.959,21.107,0.197,19.025,11.12,18.59,0.036,0.212,0.258,0.01,5593.25,6011.12,310.86,5.815
United States,2013,USA,319375168,1.61E+13,36.369,0.114,5480.926,135.472,2.534,5460.921,105.977,1.979,17.099,0.339,0.212,17.161,0.34,0.213,1720.269,5.386,5743.123,17.982,0.357,2474.964,380179.875,503825.031,165391.141,1881.63,66105.992,123815.352,143120.75,1205.387,80556.516,1.597,58.84,0.184,1410.367,4.416,19.263,17.955,-20.005,-0.063,646.78,2.025,260.52,0.816,2224.219,6.964,0.097,30.862,25727.75,2.518,15.518,13.67,11.45,7.585,26.258,23.435,24.077,12.349,33.755,17.523,28.065,16.574,15.183,21.557,-0.432,19.131,10.493,18.441,0.036,0.214,0.261,0.01,5734.28,6152.16,262.197,4.784
United States,2014,USA,322033952,1.65E+13,39.439,0.122,5528.871,47.945,0.875,5561.737,100.816,1.846,17.271,0.337,0.214,17.169,0.335,0.213,1710.368,5.311,5842.337,18.142,0.354,2514.403,385708.719,509386.781,167101.516,1945.801,67541.008,123848.219,145368.188,1237.812,80725.086,1.577,64.171,0.199,1435.02,4.456,19.245,17.947,32.866,0.102,670.36,2.082,262.03,0.814,2247.448,6.979,0.101,32.425,25996.219,2.629,15.54,13.734,11.363,7.367,26.001,23.255,23.804,12.453,33.354,17.406,27.868,16.335,16.543,21.564,0.668,19.244,10.636,18.294,0.036,0.217,0.263,0.011,5779.54,6197.43,313.466,5.67
United States,2015,USA,324607776,1.69E+13,39.907,0.123,5376.578,-152.293,-2.755,5399.148,-162.589,-2.923,16.633,0.319,0.21,16.563,0.318,0.209,1479.001,4.556,5795.042,17.852,0.343,2554.31,391085.312,514785.906,168580.516,2010.911,69017,123870.789,147653.516,1269.057,79317.367,1.523,65.11,0.201,1475.993,4.547,18.737,17.452,22.57,0.07,671.59,2.069,261.11,0.804,2285.321,7.04,0.096,31.245,25747.033,2.763,15.12,13.187,10.054,7.18,25.746,23.071,23.522,12.562,32.978,17.279,27.673,16.104,16.976,21.744,0.419,19.157,10.32,18.148,0.036,0.219,0.265,0.011,5665.21,6082.16,418.464,7.783
United States,2016,USA,327210208,1.72E+13,39.439,0.121,5251.757,-124.82,-2.322,5313.056,-86.092,-1.595,16.237,0.31,0.207,16.05,0.306,0.204,1347.797,4.119,5663.945,17.31,0.33,2593.75,396337.094,520098.969,169928.312,2065.469,70498.711,123932.094,149953.125,1297.701,78613.539,1.499,54.557,0.167,1481.713,4.528,18.258,17.554,61.299,0.187,653.04,1.996,267.18,0.817,2299.607,7.028,0.088,28.644,25723.152,2.651,14.784,13.265,9.385,6.998,25.496,22.898,23.244,12.604,32.599,17.179,27.484,15.864,14.418,21.247,1.354,19.125,9.545,18.007,0.036,0.221,0.268,0.011,5743.85,5974.2,412.188,7.849
United States,2017,USA,329791232,1.76E+13,40.324,0.122,5210.958,-40.8,-0.777,5276.91,-36.147,-0.68,16.001,0.3,0.204,15.801,0.296,0.202,1308.479,3.968,5635.312,17.088,0.32,2634.073,401548.031,525375.875,171236.781,2124.714,71959.109,123998.047,152267.797,1325.543,78289.008,1.467,59.245,0.18,1460.392,4.428,17.947,17.252,65.952,0.2,669.66,2.031,267.1,0.81,2314.675,7.019,0.084,27.842,25819.029,2.674,14.436,13.052,9.02,6.829,25.245,22.726,22.967,12.663,32.211,17.085,27.296,15.627,15.114,20.44,1.522,18.907,9.21,17.867,0.036,0.223,0.27,0.011,5689.61,5918.76,424.355,8.144
United States,2018,USA,332140032,1.81E+13,38.971,0.117,5376.657,165.7,3.18,5457.595,180.686,3.424,16.432,0.301,0.204,16.188,0.296,0.201,1256.202,3.782,5804.678,17.477,0.32,2673.044,406924.688,530833.5,172493,2197.501,73577.82,124078.984,154633.078,1350.237,80583.344,1.475,72.787,0.219,1618.72,4.874,18.431,17.741,80.938,0.244,710.57,2.139,268.55,0.809,2365.283,7.121,0.074,24.694,26764.953,2.483,14.6,13.309,8.518,6.659,25.004,22.561,22.687,12.783,31.861,16.999,27.124,15.37,17.662,21.497,1.936,19.283,8.164,17.734,0.035,0.226,0.272,0.011,5892.37,6121.63,428.02,7.961
United States,2019,USA,334319680,,40.896,0.122,5259.144,-117.513,-2.186,5353.529,-104.067,-1.907,16.013,,0.201,15.731,,0.198,1070.724,3.203,5692.483,17.027,,2713.94,412183.812,536187,173563.719,2285.884,75251.828,124173.359,156991.906,1376.548,79489.016,,88.383,0.264,1673.999,5.007,17.951,17.262,94.385,0.282,745.24,2.229,265.74,0.795,2358.831,7.056,0.079,26.311,26574.742,2.528,14.182,12.857,7.271,6.499,24.763,22.393,22.394,12.966,31.542,16.906,26.954,15.141,20.121,21.889,2.071,19.107,8.58,17.599,0.035,0.228,0.275,0.011,5771,6001.21,433.339,8.24
United States,2020,USA,335942016,,40.688,0.121,4715.691,-543.453,-10.333,4820.445,-533.084,-9.958,14.349,,0.196,14.037,,0.192,878.973,2.616,5197.398,15.471,,2754.627,416899.531,541007.438,174442.688,2353.569,76905.508,124278.117,159041.234,1401.88,73236.141,,67.684,0.201,1653.678,4.923,,,104.754,0.312,,,,,2049.336,6.1,0.075,25.332,24603.098,2.485,13.373,12.259,6.201,6.348,24.526,22.229,22.103,13.048,31.245,16.827,26.791,14.933,16.606,21.885,2.582,18.311,8.549,17.466,0.035,0.23,0.277,0.011,,,481.707,10.215
United States,2021,USA,336997632,,41.203,0.122,5007.336,291.645,6.185,5120.114,299.669,6.217,15.193,,0.197,14.859,,0.193,1002.3,2.974,,,,2795.831,421906.844,546127.562,175444.984,2421.253,78542.547,124390.891,161275.016,1427.211,76988.75,,67.684,0.201,1637.038,4.858,,,112.778,0.335,,,,,2233.778,6.628,0.075,25.332,25945.025,2.463,13.488,12.469,6.691,6.204,24.29,22.067,21.816,13.12,30.915,16.753,26.636,14.738,16.25,20.665,2.863,18.871,8.554,17.335,0.035,0.233,0.279,0.011,,,,
